city,block_x,block_y,lst,green_space_share,built_up_share,n_cells,population,water_share,street_tree_share,building_count,mean_building_height,block_area_km2,building_density_km2,heat_percentile,population_percentile,hotspot_score,hotspot,recommended_intervention,longitude,latitude
Amsterdam,1984,1632,31.011663,0.07625092217485878,0.7195395699483592,6,31610.0,0.06483870459356296,0.9736597400119257,6497.0,9.02520701862398,4.778560854286054,1359.6143688685306,0.930327868852459,0.9863387978142076,0.9583333333333333,True,Targeted local cooling measures,4.82499967712114,52.37999342784515
Amsterdam,1984,1635,32.5,0.008997375352735896,0.695394866137924,3,10832.0,0.1218198048256016,0.7655234235170881,4419.0,9.152312740439013,2.3866797905554127,1851.526131610491,0.9877049180327869,0.8934426229508197,0.9405737704918034,True,Increase green space,4.814997630774595,52.43499404180518
Amsterdam,1984,1636,32.148335,0.0352072030497886,0.777220018620453,6,28086.0,0.09613548920159347,0.9573388370143051,14757.0,8.82894626279054,4.77246620819444,3092.111993304819,0.9795081967213115,0.9795081967213115,0.9795081967213115,True,Increase green space,4.814997645705105,52.450000750819896
Amsterdam,1984,1637,30.111664,0.03790901507904464,0.5168492635606939,6,12582.0,0.19635193907192947,0.7137121449197771,8437.0,7.120799241076722,4.771275554980192,1768.29024079181,0.8387978142076503,0.9098360655737705,0.8743169398907105,True,Increase green space,4.8149976457044295,52.46999739267107
Amsterdam,1984,1638,30.209997,0.010661044697899856,0.4426287332598469,6,12393.0,0.10325529402467996,0.4882914790353506,7694.0,7.01003511053316,4.770084606406519,1612.9692940176535,0.855191256830601,0.9057377049180327,0.880464480874317,True,Increase green space,4.814997645612211,52.48999403641747
Amsterdam,1985,1622,31.514008,0.011958002294726105,0.60496998787817,5,8713.0,0.00018713057575646652,0.6604846346233746,5898.0,7.210305188199389,4.0900267425112204,1442.0443609077013,0.9617486338797814,0.8620218579234973,0.9118852459016393,True,Increase green space,4.872921798207151,52.20085195537038
Amsterdam,1985,1627,29.936666,0.06049828950791453,0.7115016129128681,6,21449.0,0.02688981929867924,0.9525288761810066,8927.0,9.548701691497703,4.783553690327317,1866.1858061823418,0.8142076502732241,0.953551912568306,0.8838797814207651,True,Increase green space,4.864993172533338,52.2899970910523
Amsterdam,1985,1630,30.96166,0.11121261624479967,0.7394695103621105,6,48779.0,0.08748639322424766,0.974108590206357,9259.0,13.841879252619075,4.780074665213078,1936.9990321243795,0.9262295081967213,0.994535519125683,0.9603825136612022,True,Targeted local cooling measures,4.8549984567940125,52.34999464887146
Amsterdam,1985,1631,32.169994,0.1352227342221669,0.7914449143360568,3,42976.0,0.06928889381317967,0.9925878392885842,6292.0,15.233703115066753,2.3895907031795054,2633.0869096653605,0.9808743169398907,0.9931693989071039,0.9870218579234973,True,Targeted local cooling measures,4.854998441978401,52.365001977120585
Amsterdam,1985,1632,31.023325,0.0828275461345283,0.8452079596257359,6,55002.0,0.05501426075331329,0.9952039957348773,8977.0,12.517319817310906,4.778288871247709,1878.7060058292209,0.9316939890710383,0.9959016393442623,0.9637978142076503,True,Targeted local cooling measures,4.854998456815349,52.37999342776765
Amsterdam,1985,1635,30.853333,0.10751119838009959,0.6299731872992388,6,28738.0,0.1122581303758181,0.8361416082178804,12142.0,9.1513860978422,4.772788772380501,2544.005314097316,0.9180327868852459,0.9808743169398907,0.9494535519125683,True,Targeted local cooling measures,4.844996424870049,52.439998613698776
Amsterdam,1986,1630,31.221664,0.1056716485401465,0.8503932223953692,6,62989.0,0.041040853990378705,1.0,13015.0,14.586913324112494,4.779802558797082,2722.9158191997467,0.9439890710382514,0.9986338797814208,0.9713114754098361,True,Targeted local cooling measures,4.884997236488844,52.34999464879395
Amsterdam,1986,1631,32.142,0.012110926509540465,0.8587566719862665,5,59512.0,0.1267500926739161,0.889150235712027,12126.0,17.25743443839683,4.084526732396308,2968.7649988486974,0.9781420765027322,0.9972677595628415,0.9877049180327868,True,Increase green space,4.887070876867795,52.36914962686694
Amsterdam,1986,1632,31.096659,0.08404679560419313,0.7827243597707135,3,42373.0,0.13045187120493504,0.9169283492633414,7284.0,15.470388522789676,2.693936151331449,2703.8502736599607,0.9371584699453552,0.9918032786885246,0.96448087431694,True,Targeted local cooling measures,4.87813723682316,52.38128078116172
Amsterdam,1986,1633,30.976664,0.023727318060172243,0.6997576689914174,3,10773.0,0.25621574646523937,0.7857719369106074,3178.0,9.785044052863435,2.694625171690969,1179.3848114339767,0.9289617486338798,0.8920765027322405,0.9105191256830601,True,Increase green space,4.884427440097426,52.40128619535206
Amsterdam,1986,1634,29.97167,0.0822321165048885,0.5608226123181316,6,13457.0,0.14423117925231502,0.7179344776580409,8338.0,7.50356405950096,4.7746697933844615,1746.298772650772,0.819672131147541,0.9139344262295082,0.8668032786885246,True,Targeted local cooling measures,4.879998107413326,52.42000107224956
Amsterdam,1987,1630,30.749994,0.06542602901058726,0.8302113436741393,6,65905.0,0.07523183319089168,0.9647168742480927,12733.0,12.089123537265372,4.779529986471407,2664.06948717575,0.9098360655737705,1.0,0.9549180327868853,True,Increase green space,4.914996016183697,52.34999464871646
Amsterdam,1987,1631,30.970001,0.06330358267676721,0.7026793254811404,5,38655.0,0.22020371992959795,0.8085081327088846,5675.0,15.163982378854627,4.083334745493032,1389.7954377274023,0.9275956284153005,0.9890710382513661,0.9583333333333333,True,Increase green space,4.9129200201566094,52.36914825741057
Amsterdam,1987,1632,29.747498,0.08865225618482418,0.6157035532362133,4,15981.0,0.2166135229312221,0.8318120856469183,6420.0,9.796526824703681,3.3887229292580328,1894.519007313965,0.7814207650273224,0.930327868852459,0.8558743169398907,True,Targeted local cooling measures,4.917947183065785,52.387944834440965
Amsterdam,1987,1633,30.352001,0.09815800904874472,0.7030059158087504,5,23858.0,0.09905373569981177,0.954989794571785,8063.0,8.95743239890846,4.081845937122239,1975.3317798379555,0.8729508196721312,0.9672131147540983,0.9200819672131147,True,Targeted local cooling measures,4.912919080113548,52.40084809309278
Amsterdam,1988,1627,29.576666,0.11934408227303862,0.7611538862463854,6,15006.0,0.028455753938624432,0.958962963471639,3364.0,8.32859690844233,4.780118242701511,703.7482817786566,0.755464480874317,0.9234972677595629,0.83948087431694,True,Targeted local cooling measures,4.954997034811168,52.299999225638054
Amsterdam,1988,1628,30.643332,0.16026555032540538,0.6802249464149449,3,15009.0,0.02677165430143912,1.0,2776.0,10.819380403458213,2.389613020171394,1161.6943733428823,0.9030054644808743,0.924863387978142,0.9139344262295082,True,Targeted local cooling measures,4.95499702021004,52.314998925180255
Amsterdam,1988,1629,31.12,0.13849101253397525,0.7672829265573123,5,22643.0,0.042095643833853794,1.0,6404.0,9.388385384134915,4.08474398689376,1567.7849139499967,0.9385245901639344,0.9631147540983607,0.9508196721311475,True,Targeted local cooling measures,4.94707166519752,52.33085031796773
Amsterdam,1989,1628,29.918,0.22345234618080453,0.5976105336001242,5,22918.0,0.06560823265497032,0.9636143548121799,5977.0,9.211665829566382,4.084077038144283,1463.4885542501472,0.8087431693989071,0.9644808743169399,0.8866120218579234,True,Targeted local cooling measures,4.98292260121038,52.31914588177971
Amsterdam,1989,1629,30.412498,0.14000351227553678,0.662285986765659,4,14877.0,0.0717747773246516,0.9237801322347039,4990.0,10.505190380761523,3.38993806826545,1472.0032931319195,0.8770491803278688,0.9221311475409836,0.8995901639344261,True,Targeted local cooling measures,4.972042755897382,52.3320504086757
Amsterdam,1989,1638,29.769989,0.10287555487981441,0.7913260482129199,2,9443.0,0.10579839690726599,0.9886934753489982,7028.0,7.892638019351167,1.6921151754453685,4153.381579448464,0.7882513661202186,0.875,0.8316256830601093,True,Targeted local cooling measures,4.959994317906554,52.494991407333856
Amsterdam,1989,1650,29.738327,0.018237997108725385,0.4129460489159029,6,6351.0,0.00034364671865752544,0.5435970704244871,4216.0,5.5527438879658195,4.757862804779932,886.1121417297793,0.7786885245901639,0.8142076502732241,0.7964480874316939,True,Increase green space,4.935000289151942,52.709995254188996
Amsterdam,1990,1639,30.023325,0.04968805366069451,0.6737121924765465,3,4476.0,0.03438383519578383,1.0,3232.0,8.016466584158417,2.383518930760244,1355.9783219213307,0.8278688524590164,0.7691256830601093,0.7984972677595629,True,Increase green space,4.984995798858505,52.51499587249383
Amsterdam,1991,1627,30.436666,0.045927852894440395,0.37943768380214765,6,8647.0,0.04367475196292228,0.488371801090304,5305.0,6.941706581180465,4.781321661319061,1109.5258540996106,0.8838797814207651,0.8592896174863388,0.8715846994535519,True,Increase green space,5.045000900735932,52.29999922573908
Amsterdam,1991,1628,30.193329,0.03790953991386096,0.41042620888479736,6,8962.0,0.028981906031562015,0.5840178004879308,5397.0,8.169387361312108,4.7802220193101705,1129.027057362251,0.8497267759562842,0.8688524590163934,0.8592896174863388,True,Increase green space,5.034991336780157,52.319995869510045
Amsterdam,1992,1646,29.844,0.0967685819250326,0.43064105274651876,5,7439.0,0.16158164737626865,0.6395004791095187,4565.0,6.534154250657318,4.071282452889166,1121.268311109309,0.8005464480874317,0.8401639344262295,0.8203551912568305,True,Targeted local cooling measures,5.032915595151096,52.64084348087496
